1_level,2_level,3_level,4_level,5_level,sub_1,year,subCategory,winner,object,id,primaryContext,secondaryContext,primaryContextType,secondaryContextType,url,pub_date
film,festivals,Venice International Film Festival,volpi cup,Actress,,1962,,1,Therese,tt0056581,Emmanuelle Riva,Thérèse Desqueyroux,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1963,,1,Muriel,tt0057336,Delphine Seyrig,Hélène Aughain,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1964,,1,To Love,tt0057861,Harriet Andersson,Louise,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1965,,1,Three Rooms in Manhattan,tt0179492,Annie Girardot,Kay Larsi,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1966,,1,The First Teacher,tt0059585,Natalya Arinbasarova,Altynai,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1967,,1,Dutchman,tt0060358,Shirley Knight,Lula,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1968,,1,Teorema,tt0063678,Laura Betti,Emilia,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1983,,1,Sugar Cane Alley,tt0086213,Darling Légitimus,M'Man-Tine,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1984,,1,Full Moon in Paris,tt0087821,Pascale Ogier,Louise,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1986,,1,Storia d'amore,tt0092017,Valeria Golino,Bruna Assecondati,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1987,,1,The Surrogate Woman,tt0091953,Kang Soo-yeon,Ok-nyo,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1988,,1,Madame Sousatzka,tt0095564,Shirley MacLaine,Madame Sousatzka,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1988,,1,Story of Women,tt0096336,Isabelle Huppert,Marie Latour,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1989,,1,Screen One: She's Been Away,tt0098307,Geraldine James,Harriet Ambrose,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1989,,1,Screen One: She's Been Away,tt0098307,Peggy Ashcroft,Lillian Huckle,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1990,,1,La Luna en el Espejo,tt0100075,Gloria Münchmeyer,Lucrecia,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1991,,1,Edward II,tt0101798,Tilda Swinton,Isabella,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1992,,1,The Story of Qiu Ju,tt0105197,Gong Li,Qiu Ju,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1993,Supporting,1,Dove siete? Io sono qui,tt0106765,Anna Bonaiuto,Mother,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023,Dove siete? Io sono qui
film,festivals,Venice International Film Festival,volpi cup,Actress,,1993,,1,Three Colors: Blue,tt0108394,Juliette Binoche,Julie Vignon de Courcy,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1994,Lead,1,"Two Brothers, My Sister",tt0111508,Maria de Medeiros,Maria,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1994,Supporting,1,Little Odessa,tt0110365,Vanessa Redgrave,Irina Shapira,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1995,Lead,1,La Cérémonie,tt0112769,Isabelle Huppert,Jeanne,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1995,Lead,1,La Cérémonie,tt0112769,Sandrine Bonnaire,Sophie,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1995,Supporting,1,The Story of a Poor Young Man,tt0114294,Isabella Ferrari,Andreina,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1996,Lead,1,Ponette,tt0117359,Victoire Thivisol,Ponette,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1997,,1,"Niagara, Niagara",tt0119780,Robin Tunney,Marcy,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1998,,1,Place Vendôme,tt0119901,Catherine Deneuve,Marianne Malivert,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,1999,,1,An Affair of Love,tt0204709,Nathalie Baye,Her,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2000,,1,The Goddess of 1967,tt0255195,Rose Byrne,B.G.,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2001,,1,Light of My Eyes,tt0282701,Sandra Ceccarelli,Maria,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2002,,1,Far from Heaven,tt0297884,Julianne Moore,Cathy Whitaker,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2003,,1,Rosenstrasse,tt0298131,Katja Riemann,Lena Fischer,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2004,,1,Vera Drake,tt0383694,Imelda Staunton,Vera Rose Drake,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2005,,1,Don't Tell,tt0443446,Giovanna Mezzogiorno,Sabina,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2006,,1,The Queen,tt0436697,Helen Mirren,Queen Elizabeth II,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2007,,1,I'm Not There,tt0368794,Cate Blanchett,Jude Quinn,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2008,,1,The Other One,tt1171704,Dominique Blanc,Anne-Marie,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2009,,1,The Double Hour,tt1379222,Kseniya Rappoport,Sonia,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2010,,1,Attenberg,tt1691323,Ariane Labed,Marina,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2011,,1,A Simple Life,tt2008006,Deanie Ip,Sister Peach,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2012,,1,Fill the Void,tt2219514,Hadas Yaron,Shira Mendelman,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2013,,1,A Street in Palermo,tt1966637,Elena Cotta,Samira Calafiore,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2014,,1,Hungry Hearts,tt3344922,Alba Rohrwacher,Mina,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2015,,1,Anna,tt4898888,Valeria Golino,Anna,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2016,,1,La La Land,tt3783958,Emma Stone,Mia Dolan,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2017,,1,Hannah,tt4432006,Charlotte Rampling,Hannah,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2018,,1,The Favourite,tt5083738,Olivia Colman,Queen Anne,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2019,,1,Gloria Mundi,tt9584814,Ariane Ascaride,Sylvie Benar,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2020,,1,Pieces of a Woman,tt11161474,Vanessa Kirby,Martha Weiss Carson,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2021,,1,Parallel Mothers,tt12618926,Penélope Cruz,Janis Martinez,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Venice International Film Festival,volpi cup,Actress,,2022,,1,Tár,tt14444726,Cate Blanchett,Lydia Tár,award recipient,movie role,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress,10/20/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1951,Comedy,1,Without Leaving an Address,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1951,Documentary,1,In Beaver Valley,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1951,Drama,1,Four in a Jeep,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1951,Music Film,1,Cinderella,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1951,Thriller & Adventure,1,Justice Is Done,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1952,,1,One Summer of Happiness,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
film,festivals,Berlin International Film Festival,Golden Bear,,,1953,,1,The Wages of Fear,,,,,,https://en.wikipedia.org/wiki/Golden_Bear,9/11/2023
